普尔曼, Pullman
超凡序列, Extraordinary sequence
克兰西亚, Cransia
翠娜莎, Trina
玛娜, mana
艾许莉, 艾许莉
伊瓦尔, Ivar
坎达, Kanda
古菲亚, Gufia
提黛丝, Daytis
翠娜, Cuina
玉章山, Jade Seal Mountain
菲莉, Phili
霍普兰尔, Hopland
维尔加, Verga
切尔西, Chelsea
肯佩湖, Kempe Lake
蕾西, Lacey
亚格蒂林, Agdelin
杰林克, Jelink
瑞琪儿, Rachel
肯佩城, Kempe City
黄叶镇, Yellow Leaf Town
南海群岛, South Sea Archipelago
迪尔, Diel
奥兹国, Oz Empire
铬希金, Chromium Hope Gold
阿涅弥斯, Anemesis
鲁迅, Lu Xun
凯文, Kevin
尼德郡, Ned County
芬尔顿, Fenton
艾德利·提西福涅, Edric Tisiphone
翠鸟之诗, The Song of the Kingfisher
威克, Wick
雪莉, Sherry
卡里忒斯, Carithes
佩尔, Pearl
洛兰希尔, Loranhil
霍斯, Hollis
笆尔娅, Barya
博朗顿, Bolton
提西福, Tisiphone
埃梅纳斯, Emenas
曼达, Manda
兰莉儿, Laniel
芬尔, Fenton
莉格, Lige
诺伊斯, Noel
尤贝雷, Yuberei
白兰, Bailan
巴泽尔, Bazel
丹尼尔, Daniel
普罗荷, Proho
伍德, Wood
朱亚, Zhuya
维托, Vito
泰山, Taishan
梅, Mei
红贝湾, Red Shell Bay
维尔加联盟, Verga Alliance
西福涅, Siphonie
索兰德, Soland
西岚山, Tisilan Mountains
新维尔加联盟, New Vilga Alliance
米拉, Mila
伯里斯, Boris
艾赛亚, Isaiah
托兰, Toran
艾莉雅, Ailya
联盟, Alliance
托科林, Tocorin
盆地, Basin
小洛兰, Little Loran
萝莉, Loli
莱涧河, Laijian River
黑岩公国, Blackrock Duchy
古菲亚联盟, Gufia Alliance
布曼莎, Bumansa
洛兰, Lorraine
菲利兰, Phililan
格雷斯, Grace
莉莉, Lily
西大陆人, Western Continent people
桥墩学院, Pier Academy
卡芙拉, Kafra
明明, Mingming  
洛希儿, Luo Xi'er
艾萝伊, Eloy
布曼莎·埃迪, Bumansa Edie
南柯, Nanke
西岚山脉, Xilan Mountains
萨满, Shaman
黑狼族, Black Wolf Tribe
古菲亚草原, Gufia Grassland
莱顿, Layton
达伦, 达伦 - Darlen
菲丽娅, Filia
爱拉妮, Elani
提西岚山脉, Tixi Mountain Range
叶明月, 叶明月  
冰·圣茵戈尔, Ice·Saint Ingall
伊雪葛琳, Yixue Gelin
南娜, Nanna
薇琳, Velin
玛琪, Maki
米白, 米白
薇琳格, Vilnius
杰克, Jack
星琉, Xingliu
普耳曼, Pulman
芙萝茜娅, Florosia
奥苏娜, Osuna
希瑟, Heather
克缇, 克缇  
夏秋冬, Summer, Autumn, Winter
赛莲, 赛莲
兰姆, Lam
艾芙琳, Evelyn
克缇什, 克缇什
