ミルッカ,Mirukka  
カウコ,Kauko  
東京,Tokyo  
埼玉,Saitama  
トゥオネラ,Tuonela
キューラ,Kyura  
世界大戦,World War
メロウ,Mellow  
タハティ,Tahati  
スー,Su
セリエ,Serrian
メリュジーヌ,Melusine  
日本,Japan  
フレ,Fle
スィグリズル,Sigurdsul
ターくん,Tar-kun
ルミマンシッ,Lumimansikka
ズベリー,Zuberry
ムーンリバー,Moon River
イルリクーテ帝国,Irlyküte Empire
キルシヤルヴィ空港,Kirsijärvi Airport  
キルシヤルヴィ,Kirsijärvi  
ヒンデンブルク号,Hindenburg
エルフ,Elf  
パイヴィ,Paivi
マルヤ,Maruya  
エリヤス,Elyas  
マルヤッタ,Maruyatta
イルリラ,Ilrila  
エリヤス邸,Elyas Residence
ライモ,Laimo  
クリオネモチーフ,Clione-themed  
涙のトッカータ,Toccata of Tears
ワイナモ,Wainamo
マッシャー,Masher
夢見るシャンソン人形,Dreaming Chanson Doll  
リュリュ・マウリ,Lyllyu Mauri  
ルンルン,Runrun
ワイナモ翁,Wainamo Elder  
キルシ,Kiruishi  
ハワイ,Hawaii  
台湾,Taiwan  
ミシン,Sewing Machine
ヴァリオ,Vario
ギルド長,Guild Master
ちぃ,Chii  
サンプサ,Sampsa
蚤の市,Flea Market  
ギルド,Guild
ナモ邸,House of Namo  
北極圏の歴史・下,"History of the Arctic Circle, Part Two"
ルーエ,Lueue  
貝料理酒場メロウ,Mellow Shellfish Tavern
西風,West Wind  
ヒミコ,Himiko  
中央管理局,Central Management Bureau
クラーラ,Clara
ターヤ,Taya
ワイナモ邸,Wainamo Mansion
メイプルリーフ・ラグ,Maple Leaf Rag  
スヴィ,Svi
クレイドルグレイブ,Cradlegrave
カステへルミ,Kastehelmi  
ヤニ,Jani
私設兵士団,Private Guard
ムートン,Mouton
設立百五十年祭,150th Anniversary Festival  
酒場,Tavern  
ミーちゃん,Mi-chan
サウル,Saul  
ヨエル,Joel  
タピオ,Tapio
